[step],total-discharged,total-recovered,patient-deaths,successful-antibiotics,total-antibiotic-failures,total-mutations
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.345679012345679
2,0.0,0.0,0.0,0.0,0.0,0.5679012345679012
3,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
4,0.0,0.0,0.0,0.0,0.0,1.2592592592592593
5,0.0,0.0,0.0,0.0,0.0,1.5185185185185186
6,0.0,0.0,0.0,0.0,0.0,1.8024691358024691
7,0.0,0.0,0.0,0.0,0.0,2.0
8,0.0,0.0,0.0,0.0,0.0,2.2098765432098766
9,0.0,0.0,0.0,0.0,0.0,2.3580246913580245
10,0.0,0.0,0.0,0.0,0.0,2.6049382716049383
11,0.0,0.0,0.0,0.0,0.0,2.8395061728395063
12,0.0,0.0,0.0,0.0,0.0,3.197530864197531
13,0.0,0.0,0.0,0.0,0.0,3.6049382716049383
14,0.0,0.0,0.0,0.0,0.0,3.9012345679012346
15,0.0,0.0,0.0,0.0,0.0,4.222222222222222
16,0.0,0.0,0.0,0.0,0.0,4.54320987654321
17,0.0,0.0,0.0,0.0,0.0,4.888888888888889
18,0.0,0.0,0.0,0.0,0.0,5.1234567901234565
19,0.0,0.0,0.0,0.0,0.0,5.3580246913580245
20,0.0,0.0,0.0,0.0,0.0,5.54320987654321
21,0.0,0.35802469135802467,0.0,0.35802469135802467,0.012345679012345678,5.91358024691358
22,0.0,0.6296296296296297,0.0,0.6296296296296297,0.012345679012345678,6.234567901234568
23,0.0,0.8148148148148148,0.0,0.8148148148148148,0.012345679012345678,6.555555555555555
24,0.0,1.0493827160493827,0.0,1.0493827160493827,0.012345679012345678,6.851851851851852
25,0.0,1.2962962962962963,0.0,1.2962962962962963,0.037037037037037035,7.234567901234568
26,0.0,1.5432098765432098,0.0,1.5432098765432098,0.037037037037037035,7.506172839506172
27,0.0,1.7901234567901234,0.0,1.7901234567901234,0.06172839506172839,7.950617283950617
28,0.0,1.9876543209876543,0.0,1.9876543209876543,0.06172839506172839,8.407407407407407
29,0.0,2.123456790123457,0.0,2.123456790123457,0.06172839506172839,8.666666666666666
30,0.0,2.246913580246914,0.0,2.246913580246914,0.07407407407407407,8.962962962962964
31,0.0,2.4074074074074074,0.0,2.4074074074074074,0.07407407407407407,9.37037037037037
32,0.0,2.6296296296296298,0.0,2.6296296296296298,0.07407407407407407,9.691358024691358
33,0.0,2.7901234567901234,0.0,2.7901234567901234,0.08641975308641975,9.962962962962964
34,0.0,2.9753086419753085,0.0,2.9753086419753085,0.12345679012345678,10.296296296296296
35,0.0,3.111111111111111,0.0,3.111111111111111,0.12345679012345678,10.679012345679013
36,0.0,3.2962962962962963,0.0,3.2962962962962963,0.13580246913580246,10.938271604938272
37,0.0,3.4074074074074074,0.0,3.4074074074074074,0.14814814814814814,11.25925925925926
38,0.0,3.580246913580247,0.0,3.580246913580247,0.14814814814814814,11.654320987654321
39,0.0,3.7160493827160495,0.0,3.7160493827160495,0.1728395061728395,11.938271604938272
40,0.0,3.888888888888889,0.0,3.888888888888889,0.1728395061728395,12.25925925925926
41,0.0,4.049382716049383,0.0,4.049382716049383,0.16049382716049382,12.54320987654321
42,0.0,4.234567901234568,0.0,4.234567901234568,0.18518518518518517,12.876543209876543
43,0.0,4.432098765432099,0.0,4.432098765432099,0.18518518518518517,13.246913580246913
44,0.0,4.567901234567901,0.0,4.567901234567901,0.18518518518518517,13.54320987654321
45,0.0,4.777777777777778,0.0,4.777777777777778,0.16049382716049382,13.925925925925926
46,0.0,4.839506172839506,0.0,4.839506172839506,0.16049382716049382,14.222222222222221
47,0.0,5.049382716049383,0.0,5.049382716049383,0.16049382716049382,14.45679012345679
48,0.0,5.2592592592592595,0.0,5.2592592592592595,0.1728395061728395,14.716049382716049
49,0.0,5.3580246913580245,0.0,5.3580246913580245,0.18518518518518517,15.074074074074074
50,0.0,5.592592592592593,0.0,5.592592592592593,0.19753086419753085,15.45679012345679
51,0.0,5.925925925925926,0.0,5.925925925925926,0.20987654320987653,15.790123456790123
52,0.0,6.419753086419753,0.0,6.419753086419753,0.25925925925925924,16.098765432098766
53,0.0,6.864197530864198,0.0,6.864197530864198,0.25925925925925924,16.54320987654321
54,0.0,7.246913580246914,0.0,7.246913580246914,0.24691358024691357,16.925925925925927
55,0.0,7.654320987654321,0.0,7.654320987654321,0.2839506172839506,17.14814814814815
56,0.0,7.950617283950617,0.0,7.950617283950617,0.2962962962962963,17.567901234567902
57,0.0,8.320987654320987,0.0,8.320987654320987,0.345679012345679,17.753086419753085
58,0.0,8.74074074074074,0.0,8.74074074074074,0.35802469135802467,18.012345679012345
59,0.0,9.037037037037036,0.0,9.037037037037036,0.35802469135802467,18.296296296296298
60,0.0,9.358024691358025,0.0,9.358024691358025,0.3950617283950617,18.493827160493826
61,0.0,9.555555555555555,0.0,9.555555555555555,0.4074074074074074,18.88888888888889
62,0.0,9.975308641975309,0.0,9.975308641975309,0.4074074074074074,19.25925925925926
63,0.0,10.333333333333334,0.0,10.333333333333334,0.4444444444444444,19.506172839506174
